product_id,product_name,category,price,supplier
75,Product_0075,Office Supplies,1690.76,National Suppliers
76,Product_0076,Home Appliances,14997.98,National Suppliers
77,Product_0077,Fashion,10366.05,Smart Retail Supply
78,Product_0078,Sports,9813.87,Prime Distributors
79,Product_0079,Furniture,39269.47,Smart Retail Supply
80,Product_0080,Fashion,2500.82,Global Supply Co
81,Product_0081,Fashion,4266.58,Prime Distributors
82,Product_0082,Office Supplies,2126.14,ABC Traders
83,Product_0083,Grocery,534.77,National Suppliers
84,Product_0084,Furniture,10688.51,National Suppliers
85,Product_0085,Sports,13348.42,National Suppliers
86,Product_0086,Sports,11522.1,National Suppliers
87,Product_0087,Sports,3196.98,Global Supply Co
88,Product_0088,Grocery,752.01,ABC Traders
89,Product_0089,Electronics,77787.96,Smart Retail Supply
90,Product_0090,Furniture,64466.14,Prime Distributors
91,Product_0091,Mobile Accessories,3111.03,ABC Traders
92,Product_0092,Sports,4787.52,Smart Retail Supply
93,Product_0093,Office Supplies,932.42,Smart Retail Supply
94,Product_0094,Office Supplies,166.59,Prime Distributors
95,Product_0095,Home Appliances,47677.14,National Suppliers
96,Product_0096,Fashion,805.15,ABC Traders
97,Product_0097,Furniture,2925.02,ABC Traders
98,Product_0098,Electronics,58576.01,Global Supply Co
99,Product_0099,Sports,14245.89,Metro Wholesale
100,Product_0100,Home Appliances,49464.89,ABC Traders
101,Product_0101,Electronics,38153.9,ABC Traders
102,Product_0102,Electronics,39294.78,National Suppliers
103,Product_0103,Mobile Accessories,2265.26,National Suppliers
104,Product_0104,Electronics,26511.78,National Suppliers
105,Product_0105,Fashion,6404.06,National Suppliers
106,Product_0106,Office Supplies,1321.9,National Suppliers
107,Product_0107,Furniture,54839.69,Metro Wholesale
108,Product_0108,Electronics,71931.11,Metro Wholesale
109,Product_0109,Mobile Accessories,4975.8,Smart Retail Supply
110,Product_0110,Home Appliances,6223.82,Prime Distributors
111,Product_0111,Sports,5924.08,ABC Traders
112,Product_0112,Furniture,18311.79,National Suppliers
113,Product_0113,Mobile Accessories,1857.78,Global Supply Co
114,Product_0114,Electronics,23567.86,Smart Retail Supply
115,Product_0115,Home Appliances,12335.47,Prime Distributors
116,Product_0116,Home Appliances,49948.05,Smart Retail Supply
117,Product_0117,Electronics,40106.07,ABC Traders
118,Product_0118,Grocery,2300.54,Metro Wholesale
119,Product_0119,Sports,730.74,Prime Distributors
120,Product_0120,Sports,1237.93,Prime Distributors
121,Product_0121,Furniture,37786.44,Global Supply Co
122,Product_0122,Fashion,1239.24,Smart Retail Supply
123,Product_0123,Office Supplies,825.05,Prime Distributors
124,Product_0124,Electronics,78893.56,Smart Retail Supply
125,Product_0125,Electronics,17349.6,Prime Distributors
126,Product_0126,Office Supplies,634.45,ABC Traders
127,Product_0127,Mobile Accessories,2932.16,Smart Retail Supply
128,Product_0128,Electronics,40241.46,Global Supply Co
129,Product_0129,Sports,8811.46,Global Supply Co
130,Product_0130,Grocery,960.54,Smart Retail Supply
131,Product_0131,Office Supplies,2488.95,Smart Retail Supply
132,Product_0132,Sports,2294.06,Smart Retail Supply
133,Product_0133,Sports,6568.79,Prime Distributors
134,Product_0134,Sports,10423.99,National Suppliers
135,Product_0135,Furniture,78470.69,Global Supply Co
136,Product_0136,Sports,5701.18,National Suppliers
137,Product_0137,Office Supplies,1724.85,Metro Wholesale
138,Product_0138,Grocery,200.78,ABC Traders
139,Product_0139,Fashion,2292.73,Prime Distributors
140,Product_0140,Home Appliances,5611.01,Prime Distributors
141,Product_0141,Mobile Accessories,3680.22,Global Supply Co
142,Product_0142,Home Appliances,19578.23,Prime Distributors
143,Product_0143,Furniture,65827.71,Metro Wholesale
144,Product_0144,Mobile Accessories,472.03,ABC Traders
145,Product_0145,Fashion,10391.81,ABC Traders
146,Product_0146,Fashion,10075.7,National Suppliers
147,Product_0147,Mobile Accessories,581.3,Prime Distributors
148,Product_0148,Furniture,4578.69,Metro Wholesale
149,Product_0149,Office Supplies,216.05,Metro Wholesale
150,Product_0150,Sports,12841.05,Metro Wholesale
151,Product_0151,Sports,3711.88,Prime Distributors
152,Product_0152,Home Appliances,36179.84,Prime Distributors
153,Product_0153,Home Appliances,28394.38,National Suppliers
154,Product_0154,Grocery,1994.95,Smart Retail Supply
155,Product_0155,Furniture,45278.6,Global Supply Co
156,Product_0156,Home Appliances,33142.16,National Suppliers
157,Product_0157,Electronics,79136.08,Smart Retail Supply
158,Product_0158,Mobile Accessories,878.13,ABC Traders
159,Product_0159,Mobile Accessories,4178.91,National Suppliers
160,Product_0160,Office Supplies,202.66,Prime Distributors
161,Product_0161,Home Appliances,31673.99,Smart Retail Supply
162,Product_0162,Grocery,2219.25,Metro Wholesale
163,Product_0163,Grocery,1673.08,Smart Retail Supply
164,Product_0164,Mobile Accessories,3473.29,ABC Traders
165,Product_0165,Home Appliances,17999.64,ABC Traders
166,Product_0166,Office Supplies,1284.8,Smart Retail Supply
167,Product_0167,Grocery,935.46,Metro Wholesale
168,Product_0168,Furniture,48126.28,Metro Wholesale
169,Product_0169,Furniture,42944.94,Global Supply Co
170,Product_0170,Office Supplies,1014.35,Global Supply Co
171,Product_0171,Furniture,29229.55,National Suppliers
172,Product_0172,Mobile Accessories,1366.64,Global Supply Co
173,Product_0173,Furniture,34441.63,Metro Wholesale
174,Product_0174,Furniture,15619.88,Global Supply Co
175,Product_0175,Grocery,2184.1,Global Supply Co
176,Product_0176,Mobile Accessories,3070.28,ABC Traders
177,Product_0177,Mobile Accessories,798.86,Smart Retail Supply
178,Product_0178,Grocery,1743.83,Smart Retail Supply
179,Product_0179,Furniture,76670.82,ABC Traders
180,Product_0180,Electronics,19612.83,Prime Distributors
181,Product_0181,Fashion,2062.03,Metro Wholesale
182,Product_0182,Electronics,1482.49,Prime Distributors
183,Product_0183,Office Supplies,189.39,National Suppliers
184,Product_0184,Furniture,69196.99,Global Supply Co
185,Product_0185,Home Appliances,64182.49,ABC Traders
186,Product_0186,Electronics,4354.52,Prime Distributors
187,Product_0187,Sports,11284.05,Metro Wholesale
188,Product_0188,Mobile Accessories,498.53,Global Supply Co
189,Product_0189,Furniture,54311.62,National Suppliers
190,Product_0190,Grocery,1897.51,ABC Traders
191,Product_0191,Electronics,29248.99,ABC Traders
192,Product_0192,Office Supplies,82.26,Metro Wholesale
193,Product_0193,Mobile Accessories,3036.67,Metro Wholesale
194,Product_0194,Office Supplies,2974.17,Global Supply Co
195,Product_0195,Electronics,21203.3,Global Supply Co
196,Product_0196,Sports,3045.0,ABC Traders
197,Product_0197,Home Appliances,9106.47,Metro Wholesale
198,Product_0198,Grocery,1401.48,Prime Distributors
199,Product_0199,Grocery,1503.22,ABC Traders
200,Product_0200,Furniture,71823.7,Prime Distributors
